time,cpu_total,core_max,core_max_id,ram_pct,ram_gb,gpu_3D,gpu_VideoDecode,gpu_Copy,gpu_VideoProc,gpu_Compute,tft_ingame,pf_used_mb,pages_in,maple_ram_mb,maple_gpu,tft_ram_mb,tft_gpu,fconl_ram_mb,fconl_gpu,chrome_ram_mb,chrome_gpu
09:04:52,63.5,73.8,11,47.4,30.22,45.9,0.0,1.3,0.0,0.0,1,0,0.0,7825,8.8,6569,65.5,3664,5.8,1672,0.0
09:05:03,67.0,76.8,2,47.5,30.28,61.0,0.0,1.4,0.0,0.0,1,0,9.9,7834,13.7,6564,68.4,3665,8.0,1653,0.0
09:05:12,57.5,66.1,1,47.4,30.21,63.4,0.0,1.4,0.0,0.0,1,0,64.4,7837,12.8,6575,81.6,3665,6.4,1654,0.0
09:05:22,62.8,76.9,2,47.4,30.23,60.5,0.0,0.2,0.0,0.0,1,0,0.0,7824,16.3,6577,79.0,3665,6.1,1658,0.0
09:05:31,59.4,68.9,1,47.4,30.24,63.4,0.0,0.8,0.0,0.0,1,0,0.0,7823,16.6,6581,84.4,3665,8.0,1658,0.0
09:05:41,66.7,72.2,9,47.4,30.21,49.8,0.0,2.5,0.0,0.0,1,0,1,168.3,7809,8.3,6583,68.2,3579,5.9,1659,0.0
09:05:51,57.1,61.3,2,47.4,30.20,53.5,0.0,1.8,0.0,0.0,1,0,0.0,7799,17.3,6584,76.3,3653,3.5,1660,0.0
09:06:00,67.1,78.3,2,48.0,30.60,53.6,0.0,3.9,0.0,0.0,1,0,0.0,7803,12.9,6587,71.7,3650,9.3,1621,0.0
09:06:11,68.1,83.0,2,47.7,30.44,52.4,0.0,0.2,0.0,0.0,1,0,491.6,7812,11.5,6588,73.9,3686,5.1,1621,0.0
09:06:22,60.5,68.9,1,47.7,30.39,45.4,0.0,1.2,0.0,0.0,1,0,253.6,7827,7.3,6588,69.8,3691,6.2,1621,0.0
09:06:32,64.7,75.3,2,47.7,30.39,15.2,0.0,0.4,0.0,0.0,1,0,63.7,7814,11.2,6586,50.8,3692,4.1,1621,0.0
09:06:42,62.0,69.0,2,47.7,30.40,11.3,0.0,1.3,0.0,0.0,1,0,32.0,7821,7.5,6587,49.3,3692,4.0,1621,0.0
09:06:52,61.8,73.6,2,47.6,30.38,36.3,0.0,0.8,0.0,0.0,1,0,0.0,7818,9.2,6587,54.4,3692,4.3,1621,0.0
09:07:04,66.8,76.7,15,47.7,30.43,47.8,0.0,2.4,0.0,0.0,1,0,0.0,7828,7.5,6591,75.9,3692,5.5,1622,0.0
09:07:15,58.1,69.1,0,47.8,30.45,52.3,0.0,1.8,0.0,0.0,1,0,63.5,7818,7.3,6592,74.8,3693,3.9,1620,0.0
09:07:25,78.8,93.8,15,47.8,30.50,57.8,0.0,0.5,0.0,0.0,1,0,32.0,7920,9.2,6594,75.0,3693,5.4,1620,0.0
09:07:36,77.7,90.8,14,47.8,30.50,43.4,0.0,1.0,0.0,0.0,1,0,864.5,7808,8.2,6595,66.3,3694,4.0,1621,0.0
09:07:46,74.8,86.0,2,47.8,30.49,43.0,0.0,0.8,0.0,0.0,1,0,46.4,7805,5.0,6594,69.0,3694,5.8,1621,0.0
09:07:56,71.1,76.7,14,47.8,30.50,14.1,0.0,0.4,0.0,0.0,1,0,426.9,7814,10.0,6596,53.4,3694,4.3,1649,0.0
09:08:07,56.2,72.2,2,47.8,30.50,31.5,0.0,0.4,0.0,0.0,1,0,0.0,7817,4.1,6597,53.5,3694,4.4,1823,6.4
09:08:18,92.9,98.5,4,48.6,30.98,38.6,0.0,0.6,0.0,0.0,1,0,1,209.9,7825,2.6,6596,62.7,3694,4.7,2965,1.0
09:08:29,75.2,84.5,15,49.1,31.32,44.5,0.0,1.6,0.0,0.0,1,0,0.0,7822,8.4,6597,66.2,3694,5.8,3069,0.0
09:08:39,66.8,76.8,2,49.1,31.33,53.9,0.0,1.3,0.0,0.0,1,0,3,155.3,7819,10.1,6604,84.1,3694,6.7,3142,0.2
09:08:51,75.0,87.6,15,49.0,31.27,49.7,0.0,0.9,0.0,0.0,1,0,0.0,7835,4.8,6608,84.0,3694,6.3,2766,0.4
09:09:03,79.9,87.7,15,49.1,31.32,48.3,0.0,0.3,0.0,0.0,1,0,1.0,7833,0.6,6611,78.2,3694,4.2,3857,3.0
09:09:13,60.0,72.1,2,49.7,31.69,8.1,0.0,1.9,0.0,0.0,1,0,2,319.2,7808,4.6,6652,51.5,3694,3.9,4131,0.0
